id,number,area,floors,rooms,street,service_life,type
76542814,169,114.720,21,10,12761 3rd Circle,62,Epoxy Flooring
53751414,259,126.000,27,9,79 Summerview Trail,99,Termite Control
83868725,39,264.450,10,8,7587 Schiller Place,92,Elevator
37976752,120,17.330,10,10,2 Morning Plaza,51,Framing (Steel)
65778706,27,307.400,9,10,4 Atwood Way,60,Curb & Gutter
63115299,47,219.140,4,5,2 Warrior Crossing,78,Marlite Panels (FED)
56970256,163,370.660,23,4,563 Crowley Junction,77,Ornamental Railings
12954545,69,263.490,26,5,4269 Dovetail Terrace,69,Casework
84361665,184,472.860,16,6,226 Lake View Crossing,91,Framing (Steel)
10130983,191,211.640,4,,38522 Spaight Place,75,Roofing (Asphalt)
66085161,180,182.630,6,6,854 Grim Trail,84,Drilled Shafts
13407346,119,112.930,3,,78195 Jenifer Junction,50,Roofing (Asphalt)
7081537,223,414.390,28,4,76 Summerview Street,99,Granite Surfaces
90160964,40,446.070,2,2,762 Northland Crossing,85,Retaining Wall and Brick Pavers
13968220,190,73.960,27,7,43 Laurel Alley,85,Framing (Steel)
31798399,39,49.130,14,10,72 Lillian Road,59,Construction Clean and Final Clean
48551190,92,192.600,14,9,0395 Swallow Alley,54,Wall Protection
83076672,202,292.040,13,,2 North Circle,61,Hard Tile & Stone
465620,201,405.780,26,7,74 Manufacturers Center,63,Exterior Signage
14906683,72,23.120,30,6,9596 Park Meadow Crossing,65,RF Shielding
34170774,259,306.810,3,6,941 Pleasure Junction,81,Plumbing & Medical Gas
90573352,103,303.440,11,1,521 Briar Crest Drive,89,Asphalt Paving
72544396,199,489.610,9,7,0 Buena Vista Drive,65,Overhead Doors
61681697,279,255.240,10,5,274 Pennsylvania Crossing,55,Waterproofing & Caulking
91366150,19,231.520,15,7,58 Riverside Court,84,Soft Flooring and Base
99235152,180,195.070,30,,065 Anzinger Parkway,88,Drywall & Acoustical (MOB)
54557968,139,139.300,15,,10 Charing Cross Hill,62,Masonry
25967600,147,402.490,20,9,0 Kinsman Junction,53,Overhead Doors
10120053,90,394.010,13,9,9826 Drewry Street,65,Rebar & Wire Mesh Install
82420257,36,21.350,7,10,2413 Doe Crossing Lane,77,Retaining Wall and Brick Pavers
34272617,197,28.650,26,,960 Hansons Parkway,91,Structural & Misc Steel Erection
37275003,190,385.060,3,,6344 Barnett Drive,82,Structural and Misc Steel (Fabrication)
12751320,140,350.940,18,8,02 Nobel Junction,86,Masonry & Precast
60284048,248,345.370,1,,5 Basil Alley,74,Drywall & Acoustical (MOB)
10009794,22,321.120,29,,54445 Forest Dale Street,55,Overhead Doors
47544037,198,414.310,29,,94 Valley Edge Avenue,91,Retaining Wall and Brick Pavers
84077482,245,33.610,24,,98234 Sugar Center,92,Construction Clean and Final Clean
41632747,215,114.440,15,,1 Hayes Plaza,91,Termite Control
60136673,152,279.740,24,4,40400 Dexter Lane,63,Painting & Vinyl Wall Covering
82045408,152,407.410,19,3,5 Kenwood Place,99,Overhead Doors
61492673,281,460.130,28,10,149 Carberry Parkway,93,Drywall & Acoustical (MOB)
56429737,3,261.420,13,9,6760 Parkside Park,75,Granite Surfaces
80469494,119,279.330,1,8,1499 Vera Court,86,Drilled Shafts
86140438,160,229.840,22,9,761 Michigan Place,96,Curb & Gutter
94355311,70,311.740,30,1,45 Forster Trail,68,Granite Surfaces
11466435,128,89.860,19,6,1 Sage Circle,71,Termite Control
55730720,286,390.190,26,1,9 Utah Hill,55,Site Furnishings
48968262,199,221.470,29,1,50259 Hooker Junction,84,Retaining Wall and Brick Pavers
23350250,231,317.330,7,8,38020 East Alley,54,Curb & Gutter
1523602,191,313.980,13,,7 Pepper Wood Junction,58,RF Shielding
10577228,291,323.100,10,4,560 Forest Pass,53,Asphalt Paving
